Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads  
"Shurtape Technologies, LLC",https://www.linkedin.com/company/shurtape-technologies-llc,High,,,170,15,34,,1,  
"Fitch Irick Corporation",https://www.linkedin.com/company/fitch-irick-corporation,High,,,156,17,38,,,  
"PROCEPT BioRobotics",https://www.linkedin.com/company/procept-corporation,High,,,147,16,25,,,  
"Bitsight",https://www.linkedin.com/company/bitsight,High,,,143,11,23,,,  
"Evolve",https://www.linkedin.com/company/evolve-vacation-rental,High,,,131,14,47,,,  
"Endologix LLC",https://www.linkedin.com/company/endologix,Very Low,,,119,,,,,  
"Pilot Corporation of America",https://www.linkedin.com/company/pilot-pen,Very Low,,,119,,,,,  
"Arizona Financial Credit Union",https://www.linkedin.com/company/azfinancialcu,Medium,,,119,7,9,,,  
"Weaver Brands",https://www.linkedin.com/company/weaverbrands,Low,,,116,,3,,,  
"Denholtz",https://www.linkedin.com/company/denholtz,Low,,,112,,3,,,  
"CORMETECH",https://www.linkedin.com/company/cormetech,Low,,,109,3,3,,,  
"Exploria Resorts",https://www.linkedin.com/company/exploria-resorts,Low,,,105,6,6,,,  
"ArtiFlex Manufacturing, Inc",https://www.linkedin.com/company/artiflex-manufacturing-inc,Low,,,103,,3,,,  
"U.S. Cotton, LLC",https://www.linkedin.com/company/u.s.-cotton-llc,Medium,,,101,8,9,,,  
"Western Extrusions Corporation",https://www.linkedin.com/company/western-extrusions-corp,Very Low,,,99,,,,,  
"LI Group - Installation \< Logistics \> Construction",https://www.linkedin.com/company/li-group-inc-,Low,,,98,3,3,,,  
"Wight & Company",https://www.linkedin.com/company/wightco,Very Low,,,96,,,,,  
"Linxup",https://www.linkedin.com/company/linxup,Low,,,94,4,5,,,  
"NORD Gear Corporation",https://www.linkedin.com/company/nord-gear-corporation,Very Low,,,94,,,,,  
"Urban Edge Properties",https://www.linkedin.com/company/urban-edge-properties,High,,,92,12,18,,,  
"G\&W Equipment, Inc.",https://www.linkedin.com/company/g\&w-equipment-inc,Low,,,91,4,4,,,  
"BioMed Realty",https://www.linkedin.com/company/biomed-realty,High,,,91,6,18,,,  
"WS Development",https://www.linkedin.com/company/ws-development,High,10,10,89,5,22,,,  
"Drexel Building Supply",https://www.linkedin.com/company/campbellsport-building-supply-drexel-incorporated,Medium,,,88,,11,,,  
"Medtronic",https://www.linkedin.com/company/medtronic,Low,3,3,85,,,,,  
"Myomo, Inc.",https://www.linkedin.com/company/myomo-inc.,High,,,82,11,13,,,  
"ResProp Management",https://www.linkedin.com/company/resprop-management,Medium,,,81,7,7,,,  
"Flaherty & Collins Properties",https://www.linkedin.com/company/flaherty-&-collins-properties,Low,,,81,5,5,,,  
"Southworth Clubs",https://www.linkedin.com/company/southworthclubs,Very High,,,80,10,36,,,  
"Dynamic Dies, Inc.",https://www.linkedin.com/company/dynamic-dies-inc-,Medium,,,80,6,10,,,  
"Wilson Warehouse | Sabine Transportation",https://www.linkedin.com/company/wilsonwarehouse-and-sabinetransportation,Low,,,79,3,3,,,  
"Cozzini Bros.",https://www.linkedin.com/company/cozzini-bros-inc.,Low,,,78,5,5,,,  
"Ascension",https://www.linkedin.com/company/ascensionorg,Very Low,,,78,,,,,  
"American Outdoor Brands Inc.",https://www.linkedin.com/company/american-outdoor-brands-inc,High,,,76,6,24,,,  
"Accelevation LLC",https://www.linkedin.com/company/accelevation-llc,Low,,,76,3,4,,,  
"Lifestyle Communities",https://www.linkedin.com/company/lifestyle-communities,High,,,76,8,16,,,  
"Health Care LogisticsⓇ",https://www.linkedin.com/company/health-care-logistics,Medium,,,72,6,7,,,  
"Northwood Ravin",https://www.linkedin.com/company/northwood-ravin,Medium,,,71,9,9,,,  
"SMC Ltd",https://www.linkedin.com/company/smc-ltd,Medium,,,71,5,5,,,  
"PaceMate®",https://www.linkedin.com/company/pacemate,Medium,,,70,8,8,,,  
"Schimenti Construction Company",https://www.linkedin.com/company/schimenti-construction-company,Medium,,,70,6,10,,,  
"Kilroy Realty Corporation",https://www.linkedin.com/company/kilroy-realty-corporation,Medium,,,70,7,7,,,  
"eXp Realty",https://www.linkedin.com/company/exp-realty,Medium,14,9,69,,,,,  
"JLL",https://www.linkedin.com/company/jll,Low,3,3,67,,,,,  
"MeriCal®",https://www.linkedin.com/company/meri-cal,Very Low,,,66,,,,,  
"Crenlo Engineered Cabs",https://www.linkedin.com/company/crenlo-llc,High,,,66,4,14,,,  
"Sculptor Capital Management",https://www.linkedin.com/company/sculptor-capital-management,Very Low,,,65,,,,,  
"Beacon Real Estate Group",https://www.linkedin.com/company/lighthouse-property-fund,Low,,,64,3,3,,,  
"Dalfen Industrial",https://www.linkedin.com/company/dalfen-industrial,Low,,,64,3,3,,,  
"Roundhouse",https://www.linkedin.com/company/roundhousegroup,Very Low,,,62,,,,,  
"Model 1 Commercial Vehicles",https://www.linkedin.com/company/model1commercialvehicles,Very Low,,,62,,,,,  
"Mack Real Estate Group",https://www.linkedin.com/company/mack-real-estate-group,Low,,,61,3,3,,,  
"Mosyle",https://www.linkedin.com/company/mosyle,Very Low,,,61,,,,,  
"Europa Eyewear",https://www.linkedin.com/company/europaeye,Medium,,,61,,6,,,  
"Sellars",https://www.linkedin.com/company/sellars-wipers,Low,,,61,3,3,,,  
"Consilium",https://www.linkedin.com/company/consiliumstaffing,Medium,,,59,5,5,,,  
"Mother Murphy's Flavors",https://www.linkedin.com/company/mother-murphys-labs,Very High,,,59,5,25,,,  
"Orbis Education",https://www.linkedin.com/company/orbis-education,High,,,59,,15,,,  
"The Community Builders, Inc.",https://www.linkedin.com/company/the-community-builders-inc-,High,,,59,5,9,,,  
"thyssenkrupp Presta Dynamic Components Danville",https://www.linkedin.com/company/dynamic-components,Low,,,58,,3,,,  
"Würth MRO, Safety, & Metalworking",https://www.linkedin.com/company/wurthnsi,Medium,,,58,5,5,,,  
"Trademark Property Company",https://www.linkedin.com/company/trademark-property,High,,,57,7,17,4,,  
"VieMed Healthcare",https://www.linkedin.com/company/viemed-healthcare,Very High,,,55,9,24,,,  
"Spencer Savings Bank",https://www.linkedin.com/company/spencersavingsbank,Low,,,54,3,3,,,  
"Pleasant Valley Corporation",https://www.linkedin.com/company/pleasant-valley-construction,Low,,,54,,3,,,  
"Sinatra & Co.",https://www.linkedin.com/company/sinatra-and-company,Very Low,,,54,,,,,  
"ICON",https://www.linkedin.com/company/icon3dtech,Very Low,,,53,,,,,  
"Weber Logistics",https://www.linkedin.com/company/weber-logistics,Low,,,53,,3,,,  
"KCC Companies",https://www.linkedin.com/company/kcc-international,High,,,52,4,17,,,  
"Property Reserve",https://www.linkedin.com/company/propertyreserve,Very Low,,,51,,,,,  
"Ecoservices",https://www.linkedin.com/company/eco-services-operations-llc,High,,,51,6,8,,,  
"Vision Government Solutions, Inc.",https://www.linkedin.com/company/vision-government-solutions-inc-,Very Low,,,51,,,,,  
"The Berg Group",https://www.linkedin.com/company/theberggroup,Very Low,,,51,,,,,  
"Kari-Out",https://www.linkedin.com/company/kari-out-co.,Medium,,,51,4,4,,,  
"Quartus Engineering",https://www.linkedin.com/company/quartus-engineering,Very Low,,,51,,,,,  
"Reef",https://www.linkedin.com/company/reef\_2,High,,,50,3,14,,,  
"Corning Incorporated",https://www.linkedin.com/company/corning-incorporated,Very Low,,,50,,,,,  
"Stewart Richey Contracting Group",https://www.linkedin.com/company/stewart-richey-construction-inc-,High,,,49,,11,,,  
"VSM Abrasives USA",https://www.linkedin.com/company/vsmusa,Very Low,,,48,,,,,  
"TMG Property Management Services NW",https://www.linkedin.com/company/tmgnorthwest,Very High,,,48,6,26,,,  
"Milhouse",https://www.linkedin.com/company/milhouse-engineering-and-construction-inc,Medium,,,48,,5,,,  
"SponsorUnited",https://www.linkedin.com/company/sponsorunited,High,,,47,7,12,,,  
"System Pavers",https://www.linkedin.com/company/system-pavers,High,,,47,,10,,,  
"ListEngage",https://www.linkedin.com/company/listengage,Very Low,,,47,,,,,  
"CEI Materials",https://www.linkedin.com/company/cei-composite-materials,Medium,,,46,6,6,,,  
"ITW Medical",https://www.linkedin.com/company/itw-medical,High,,,46,6,11,,,  
"General Shale",https://www.linkedin.com/company/general-shale,Very Low,,,46,,,,,  
"Hercules Sealing Products",https://www.linkedin.com/company/hercules-sealing-products,Very Low,,,45,,,,,  
"Centrisys/CNP",https://www.linkedin.com/company/centrisys-cnp,Medium,,,44,5,6,,,  
"Embree Group",https://www.linkedin.com/company/embree-group,Very Low,,,44,,,,,  
"Huyett",https://www.linkedin.com/company/g.l.-huyett,Very Low,,,43,,,,,  
"Xaloy LLC",https://www.linkedin.com/company/xaloy,Very Low,,,42,,,,,  
"dancker",https://www.linkedin.com/company/dancker,Medium,,,42,5,5,,,  
"RH-Relias Healthcare",https://www.linkedin.com/company/relias-healthcare,Medium,,,40,,3,,,  
"Galloway & Company, LLC",https://www.linkedin.com/company/gallowayus,Very Low,,,40,,,,,  
"Alterra Property Group",https://www.linkedin.com/company/alterraproperty,Medium,,,40,3,5,,,  
"Stark Enterprises",https://www.linkedin.com/company/starkcle,Very Low,,,40,,,,,  
"ADM",https://www.linkedin.com/company/adm,Very Low,,,40,,,,,  
"DG Foods LLC",https://www.linkedin.com/company/dgfoods,Very Low,,,39,,,,,  
"Relocity, Inc.",https://www.linkedin.com/company/relocity,Medium,,,38,,5,,,  
"AION Management",https://www.linkedin.com/company/aion-management,High,,,38,4,7,,,  
"Radians",https://www.linkedin.com/company/radians-inc,Medium,,,38,,3,,,  
"WRMC, Inc.",https://www.linkedin.com/company/wrmcinc,Very Low,,,38,,,,,  
"Morton Industries",https://www.linkedin.com/company/morton-industries-llc,Medium,,,37,4,4,,,  
"West Coast Medical Resources, LLC",https://www.linkedin.com/company/west-coast-medical-resources-llc,Very Low,,,37,,,,,  
"Two Dudes Painting Company",https://www.linkedin.com/company/two-dudes-painting-company,Medium,,,37,3,3,,,  
"CP Group",https://www.linkedin.com/company/cp-group-cre,Medium,,,37,,4,,,  
"Gold Bond, Inc",https://www.linkedin.com/company/goldbondinc,Medium,,,36,3,3,,,  
"Tedia",https://www.linkedin.com/company/tedia-company-inc,Very Low,,,36,,,,,  
